angDist,_RAJ2000,_DEJ2000,recno,ID,Nvis,Loc,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,Sp,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Catalog,OriClass,3.6mag,e_3.6mag,4.5mag,e_4.5mag,5.8mag,e_5.8mag,8.0mag,e_8.0mag,24mag,e_24mag,Target,Pred,P(CI),P(CII),P(Other)
0.480601,86.789875,0.71695611,96574,2M05470957+0043010,2,5172,86.789875,0.716956,157.39,4,26.7556,0.026462,0.21361,0.037553,4,,,261,,,260,0.375431,4.548821,65540,,4,,,4,,,10.7325,Mg_a,8390272,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,269,,,2317,,,2317,,,269,,,2317,,,2317,,,2317,,,2317,,,3219612488442775808,Sp,86.7897979,0.7170651,86.7897979,0.7170651,1,Disks,8.809,0.004,8.323,0.004,7.866,0.002,7.201,0.001,4.677,0.019,1,1,1.0E-5,0.999786,2.03E-4
0.204315,86.79214389,0.78581389,96579,2M05471011+0047089,6,5172,86.792144,0.785814,251.047,0,26.2059,0.016239,0.203335,0.041029,4,,,261,,,260,0.332928,4.745761,65540,,4,,,4,,,10.8443,Mg_a,8389248,269,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,2317,,,3219615241517223936,Sp,86.7921231,0.7858667,86.7921231,0.7858667,1,Disks,9.94,0.002,9.438,0.002,9.084,0.003,8.121,0.002,5.742,0.017,1,1,7.0E-6,0.99991,8.4E-5
0.302659,86.793395,0.31237,96582,2M05471041+0018445,3,5172,86.793395,0.31237,119.077,0,29.6569,0.058528,0.467926,0.109292,4,,,261,,,260,0.330415,5.086146,65540,,4,,,4,,,12.2659,Mg_b,75498624,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,3219206085752831872,Sp,86.7933871,0.3124537,86.7933871,0.3124537,1,Disks,9.844,0.004,9.361,0.006,8.827,0.021,8.2,0.049,,,1,1,0.001636,0.994994,0.00337
0.836238,86.79428111,0.35415611,96584,2M05471062+0021149,2,5172,86.794281,0.354156,49.0522,0,30.548201,0.06346,0.162935,0.092514,4,,,261,,,260,0.320391,12.150776,65540,,260,,,4,,,3.50582,Mg_b,75500672,4,,,4,,,261,,,4,,,260,,,4,,,4,,,4,,,4,,,4,,,260,,,4,,,4,,,4,,,260,,,260,,,4,,,4,,,4,,,260,,,4,,,261,,,,Sp,86.794225,0.3539307,86.794225,0.3539307,1,Proto,7.761,0.003,6.58,0.002,5.513,0.003,4.595,0.002,0.598,0.007,0,0,0.997347,5.0E-6,0.002648
0.408604,86.79539111,0.53499194,96585,2M05471089+0032059,2,5172,86.795391,0.534992,105.187,0,26.5427,0.036415,0.032848,0.051702,512,3785.668,76.266,134217728,3.9869,0.1158,256,0.309599,1.0,0,10.87677,0,-0.185879,0.0145875,0,-0.068497,0.004834,2.6267,Md_b,0,0,-0.013129,0.006885,0,-0.043466,0.027653,256,,,0,-0.064691,0.008712,512,,,0,-0.115649,0.017039,0,-0.143271,0.033102,0,-0.093059,0.014029,512,,,512,,,512,,,0,-0.049789,0.017198,512,,,512,,,512,,,512,,,512,,,0,-0.168619,0.016127,0,-0.305466,0.11272,0,-0.04644,0.035966,0,0.080076,0.056916,512,,,3219589265555132416,Sp,86.7953089,0.5350702,86.7953089,0.5350702,1,Disks,10.404,0.002,10.035,0.002,9.627,0.003,9.032,0.004,6.768,0.016,1,1,6.0E-6,0.999859,1.34E-4
0.399157,86.79914806,-0.12652389,96596,2M05471179-0007354,2,5172,86.799148,-0.126524,200.286,0,61.073799,0.007303,0.062305,0.010699,512,4162.841,73.021,33554432,1.3391,0.0597,0,1.830543,3.954627,65536,,0,-0.496632,0.00828302,0,0.085249,0.008258,4.2126,GKg_c,0,0,-0.057808,0.009213,0,-0.082956,0.017199,0,0.38241,0.016232,0,0.121505,0.010305,0,0.082356,0.042218,0,0.128512,0.012671,0,0.046458,0.019329,0,0.091452,0.011093,0,0.105957,0.051534,0,0.114894,0.038198,0,0.08075,0.0375,0,0.03327,0.0147,512,,,0,0.407065,0.053985,0,-0.040507,0.04064,0,-0.055562,0.03575,0,-0.002156,0.018576,0,-0.506622,0.009677,0,0.011502,0.033172,0,0.031112,0.015851,0,0.170767,0.035572,0,-0.298025,0.049978,3219129154298654208,Sp,86.7990751,-0.1264404,86.7990751,-0.1264404,1," Other",9.822,0.001,9.898,0.001,9.79,0.004,9.705,0.004,,,6,2,0.0,5.9E-5,0.999941
0.217279,86.80242611,0.72343111,96604,2M05471258+0043243,4,5172,86.802426,0.723431,254.243,0,25.895901,0.033154,0.238317,0.062656,512,4322.691,80.75,33554432,3.0316,0.071,0,0.530322,5.333148,65536,,0,-1.005149,0.0162343,0,-0.500815,0.011507,29.9226,GKg_b,640,0,-0.243746,0.016806,0,-0.526208,0.036013,0,-0.100337,0.062178,0,-0.40011,0.019791,512,,,257,,,0,-0.423871,0.020129,0,-0.418559,0.014156,512,,,512,,,0,0.498715,0.025968,0,0.478738,0.016945,0,-0.346166,0.029296,768,,,512,,,0,0.384703,0.057252,0,-0.077236,0.044927,0,-1.073749,0.015386,0,-0.332026,0.15582,0,-0.326871,0.032729,0,0.502825,0.073989,512,,,3219612522801886720,Sp,86.8023763,0.7234652,86.8023763,0.7234652,1,Disks,7.872,0.002,7.209,0.002,6.781,0.001,5.859,0.002,3.099,0.014,1,1,3.2E-5,0.999613,3.56E-4
0.225666,86.80283611,-0.26599,96608,2M05471268-0015575,1,5172,86.802836,-0.26599,240.803,0,25.052401,0.015341,0.0,0.015341,0,5776.599,120.634,67108864,4.2733,0.091,0,1.130834,1.0,0,3.44073,0,-0.279539,0.011479,0,0.036031,0.010278,2.3781,GKd_c,0,0,-0.009,0.025708,0,0.033035,0.025641,0,0.066475,0.05054,512,,,512,,,0,0.064544,0.013889,0,0.139919,0.021716,0,0.046265,0.012905,512,,,0,0.086746,0.050603,0,0.132725,0.040041,0,0.068772,0.019159,0,0.160874,0.065292,0,-0.033391,0.103105,512,,,0,-0.129277,0.07166,0,-0.018056,0.025601,0,-0.287509,0.01167,0,0.558934,0.168099,0,-0.02016,0.020582,0,0.607505,0.08759,512,,,3219124099120898944,Sp,86.802866,-0.2660451,86.802866,-0.2660451,1," Other",9.975,0.001,9.972,0.002,9.94,0.004,9.917,0.006,9.826,0.238,6,2,1.0E-6,9.8E-5,0.999901
0.283631,86.80341194,0.320715,96609,2M05471281+0019145,1,5172,86.803412,0.320715,81.6513,0,27.514799,0.037649,0.0,0.037649,512,3754.187,80.022,134217728,3.5827,0.0464,0,0.542488,1.0,0,14.66898,0,-0.195679,0.0163787,0,-0.011784,0.00522,2.00041,Md_b,0,0,-0.026748,0.007474,0,-0.083118,0.030373,0,-0.249717,0.07489,0,-0.030941,0.009487,512,,,0,-0.108529,0.019093,0,-0.161751,0.039403,0,-0.071624,0.015763,512,,,512,,,512,,,0,0.025199,0.019752,512,,,512,,,512,,,512,,,512,,,0,-0.157539,0.018165,0,0.082114,0.122194,0,-0.06287,0.041397,0,0.103176,0.063365,512,,,3219206115817945088,Sp,86.8034032,0.3207933,86.8034032,0.3207933,1," Other",10.613,0.002,10.528,0.003,10.307,0.014,9.848,0.041,,,6,2,1.95E-4,0.352321,0.647484
0.230084,86.80382806,0.36846694,96611,2M05471291+0022064,4,5172,86.803828,0.368467,123.314,0,27.371,0.051024,0.276907,0.100123,261,,,261,,,4,0.450215,5.057333,65540,,4,,,4,,,6.51343,Mg_b,8389248,4,,,4,,,261,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,3219582458030819712,Sp,86.8037882,0.3685169,86.8037882,0.3685169,1,Disks,9.303,0.001,8.697,0.001,8.674,0.004,7.715,0.008,4.793,0.007,1,1,1.0E-6,0.999969,3.0E-5
